epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6695,1.43243,2.04778,1.26514,0.07988,0.5209,0.05969,0.03309,1.62102,34.7561,1.46616,0.000665214,0.000665214,0.000665214
2,146.06,1.62945,1.85834,1.41994,0.66574,0.49254,0.52656,0.34418,1.43948,1.79932,1.36391,0.0013154,0.0013154,0.0013154
3,215.324,1.53628,1.69103,1.37703,0.55471,0.24776,0.24218,0.15344,1.71264,2.10691,2.6386,0.00194908,0.00194908,0.00194908
4,283.972,1.52574,1.6752,1.37853,0.60569,0.49701,0.51547,0.33468,1.43305,1.95455,1.37264,0.00192575,0.00192575,0.00192575
5,352.491,1.43969,1.57483,1.32623,0.58288,0.41642,0.42729,0.26816,1.3797,3.1328,1.32589,0.001901,0.001901,0.001901
6,421.171,1.38932,1.4769,1.27741,0.76024,0.52388,0.61416,0.38854,1.38538,1.45847,1.2825,0.00187625,0.00187625,0.00187625
7,490.243,1.3432,1.38783,1.24129,0.79967,0.55821,0.64574,0.42042,1.25962,1.23292,1.23691,0.0018515,0.0018515,0.0018515
8,560.082,1.35934,1.40634,1.25491,0.76686,0.42537,0.48504,0.34175,1.28805,1.97146,1.32469,0.00182675,0.00182675,0.00182675
9,628.77,1.27925,1.29802,1.22032,0.79174,0.60148,0.70032,0.48323,1.15757,1.1148,1.18797,0.001802,0.001802,0.001802
10,697.744,1.25065,1.22478,1.20531,0.84442,0.61565,0.71065,0.4912,1.16612,1.0857,1.14455,0.00177725,0.00177725,0.00177725
11,766.996,1.22695,1.20443,1.19566,0.83392,0.6403,0.72828,0.50486,1.17105,1.03256,1.18333,0.0017525,0.0017525,0.0017525
12,836.069,1.18164,1.0947,1.18367,0.84713,0.63688,0.73394,0.49866,1.13704,1.01455,1.12752,0.00172775,0.00172775,0.00172775
13,904.728,1.16371,1.13672,1.16431,0.89377,0.63134,0.75878,0.52568,1.09292,0.9552,1.11632,0.001703,0.001703,0.001703
14,973.723,1.15993,1.08667,1.14377,0.88265,0.67164,0.77762,0.53249,1.09146,0.94797,1.1259,0.00167825,0.00167825,0.00167825
15,1042.82,1.11939,1.03638,1.12475,0.92155,0.65373,0.78389,0.53151,1.12,0.92012,1.12788,0.0016535,0.0016535,0.0016535
16,1111.77,1.16698,1.07105,1.15357,0.90702,0.66119,0.78315,0.55338,1.05453,0.93941,1.10327,0.00162875,0.00162875,0.00162875
17,1180.69,1.10298,1.0117,1.11231,0.81939,0.71194,0.79519,0.56408,0.99408,0.94317,1.09619,0.001604,0.001604,0.001604
