epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1500.3,0.90479,0.59958,0.92174,0.9223,0.81254,0.88949,0.63804,0.94912,0.60818,0.9331,0.0011882,0.0011882,0.0011882
43,1535.91,0.90148,0.59572,0.9327,0.89554,0.8094,0.87821,0.64547,0.90737,0.59871,0.92095,0.0011684,0.0011684,0.0011684
44,1571.52,0.88503,0.59433,0.92371,0.94744,0.82258,0.90646,0.66437,0.90379,0.55773,0.91976,0.0011486,0.0011486,0.0011486
45,1606.81,0.88694,0.5831,0.93122,0.947,0.81545,0.90291,0.65229,0.91516,0.58688,0.92307,0.0011288,0.0011288,0.0011288
46,1642.34,0.89093,0.59497,0.91856,0.87877,0.82705,0.89533,0.6585,0.88296,0.58422,0.90468,0.001109,0.001109,0.001109
47,1677.79,0.87246,0.56573,0.91308,0.93685,0.83758,0.9064,0.6558,0.91652,0.56344,0.91885,0.0010892,0.0010892,0.0010892
48,1713.3,0.86778,0.56969,0.92132,0.91491,0.8255,0.90729,0.66544,0.89294,0.55497,0.9189,0.0010694,0.0010694,0.0010694
49,1748.62,0.8796,0.58253,0.91933,0.92497,0.85235,0.91311,0.66349,0.88381,0.54695,0.91229,0.0010496,0.0010496,0.0010496
50,1784.18,0.85565,0.54846,0.91516,0.91487,0.85108,0.90814,0.66859,0.87179,0.55717,0.91019,0.0010298,0.0010298,0.0010298
51,1819.68,0.854,0.56221,0.9147,0.91413,0.84161,0.89959,0.66076,0.89354,0.55656,0.91602,0.00101,0.00101,0.00101
52,1855.18,0.83834,0.55898,0.90263,0.94163,0.82416,0.91036,0.66225,0.88862,0.55513,0.90108,0.0009902,0.0009902,0.0009902
53,1890.56,0.85429,0.55092,0.90791,0.92787,0.84564,0.90581,0.67706,0.865,0.54814,0.90167,0.0009704,0.0009704,0.0009704
54,1925.73,0.83579,0.54548,0.90797,0.92269,0.84908,0.911,0.66292,0.86697,0.54074,0.90319,0.0009506,0.0009506,0.0009506
55,1961.26,0.85949,0.54095,0.91933,0.92365,0.84434,0.90486,0.67198,0.87211,0.53784,0.90371,0.0009308,0.0009308,0.0009308
56,1996.82,0.83442,0.52353,0.91227,0.92778,0.86222,0.91573,0.67162,0.87272,0.53489,0.90362,0.000911,0.000911,0.000911
57,2032.55,0.8373,0.53033,0.90181,0.94764,0.85906,0.92568,0.68375,0.85626,0.50701,0.89825,0.0008912,0.0008912,0.0008912
58,2068.01,0.84016,0.54358,0.9098,0.92815,0.85906,0.91529,0.67192,0.86773,0.52956,0.90713,0.0008714,0.0008714,0.0008714
59,2103.11,0.82879,0.52165,0.9134,0.93429,0.84161,0.91199,0.67425,0.87071,0.51912,0.90546,0.0008516,0.0008516,0.0008516
60,2138.63,0.84081,0.51884,0.89782,0.94624,0.85051,0.91853,0.6751,0.8745,0.5267,0.90573,0.0008318,0.0008318,0.0008318
61,2174.22,0.84013,0.53725,0.90887,0.94087,0.8698,0.92113,0.67961,0.87324,0.50301,0.90416,0.000812,0.000812,0.000812
62,2209.67,0.84444,0.5287,0.9086,0.94822,0.86443,0.92072,0.68065,0.85649,0.5018,0.90321,0.0007922,0.0007922,0.0007922
63,2245,0.84115,0.51457,0.89961,0.92569,0.86953,0.91758,0.68141,0.84263,0.50186,0.89742,0.0007724,0.0007724,0.0007724
64,2280.48,0.8232,0.49582,0.90398,0.93418,0.85726,0.92224,0.68481,0.85934,0.49335,0.90514,0.0007526,0.0007526,0.0007526
65,2315.95,0.81161,0.50289,0.89557,0.94041,0.86857,0.91939,0.68367,0.85454,0.50223,0.90103,0.0007328,0.0007328,0.0007328
66,2351.25,0.81885,0.50071,0.90752,0.90564,0.87785,0.91005,0.67591,0.85747,0.52339,0.90318,0.000713,0.000713,0.000713
67,2386.55,0.81388,0.49957,0.89384,0.92414,0.86443,0.91595,0.68386,0.8418,0.51764,0.89297,0.0006932,0.0006932,0.0006932
68,2422.1,0.77372,0.48559,0.89196,0.93565,0.85906,0.91985,0.68455,0.85115,0.50784,0.89522,0.0006734,0.0006734,0.0006734
69,2457.83,0.79246,0.50142,0.89562,0.93219,0.8443,0.9219,0.68535,0.84599,0.50598,0.8948,0.0006536,0.0006536,0.0006536
70,2493.25,0.80937,0.48841,0.89344,0.93456,0.86577,0.92466,0.68384,0.86024,0.49972,0.90122,0.0006338,0.0006338,0.0006338
71,2528.72,0.81466,0.4914,0.89665,0.93831,0.85755,0.91586,0.6846,0.84344,0.50456,0.89756,0.000614,0.000614,0.000614
72,2563.79,0.79162,0.48393,0.89909,0.94301,0.87114,0.92207,0.69165,0.83513,0.48717,0.89054,0.0005942,0.0005942,0.0005942
73,2599.59,0.79277,0.469,0.89711,0.93979,0.87997,0.91801,0.68809,0.8474,0.48851,0.89949,0.0005744,0.0005744,0.0005744
74,2634.98,0.79658,0.47734,0.8894,0.93808,0.87447,0.92594,0.69175,0.84274,0.47857,0.89845,0.0005546,0.0005546,0.0005546
75,2670.3,0.7813,0.46873,0.89019,0.9626,0.85503,0.92426,0.69108,0.83533,0.47869,0.89581,0.0005348,0.0005348,0.0005348
76,2705.78,0.79983,0.48874,0.89388,0.93763,0.86768,0.92068,0.69394,0.83553,0.48325,0.89533,0.000515,0.000515,0.000515
77,2741.38,0.7587,0.45661,0.89054,0.92961,0.88456,0.92481,0.69723,0.82687,0.47755,0.89063,0.0004952,0.0004952,0.0004952
78,2776.75,0.76592,0.45325,0.88556,0.95634,0.85257,0.92449,0.69556,0.83707,0.47668,0.89308,0.0004754,0.0004754,0.0004754
79,2812.26,0.76371,0.44676,0.88672,0.9517,0.85503,0.92517,0.69516,0.8318,0.47932,0.89321,0.0004556,0.0004556,0.0004556
80,2847.67,0.75271,0.44459,0.88451,0.94313,0.86816,0.92822,0.69943,0.8262,0.47299,0.89304,0.0004358,0.0004358,0.0004358
81,2882.95,0.77255,0.45825,0.88873,0.93429,0.87919,0.93229,0.69894,0.82873,0.46806,0.89042,0.000416,0.000416,0.000416
82,2918.59,0.76207,0.43651,0.8801,0.95292,0.85638,0.92658,0.69634,0.82157,0.4651,0.89023,0.0003962,0.0003962,0.0003962
83,2954,0.75851,0.4411,0.88535,0.94695,0.8625,0.92874,0.70105,0.81598,0.46235,0.88948,0.0003764,0.0003764,0.0003764
84,2989.38,0.75223,0.4348,0.87845,0.94849,0.86711,0.92734,0.70091,0.81542,0.46781,0.88986,0.0003566,0.0003566,0.0003566
85,3024.83,0.76133,0.43785,0.87999,0.93076,0.86309,0.92005,0.69757,0.82164,0.47597,0.89055,0.0003368,0.0003368,0.0003368
86,3060.38,0.75646,0.43196,0.88014,0.9206,0.87651,0.92028,0.69604,0.82311,0.46744,0.89192,0.000317,0.000317,0.000317
87,3096.03,0.75285,0.43778,0.87255,0.93394,0.86846,0.92336,0.69755,0.82261,0.46383,0.88945,0.0002972,0.0002972,0.0002972
88,3131.44,0.74043,0.42772,0.87719,0.93171,0.87651,0.92072,0.69195,0.82554,0.46926,0.8892,0.0002774,0.0002774,0.0002774
89,3166.97,0.73414,0.42,0.8787,0.93744,0.87919,0.9281,0.7006,0.81788,0.46294,0.88917,0.0002576,0.0002576,0.0002576
90,3202.51,0.7382,0.42504,0.87498,0.94249,0.8799,0.92963,0.70335,0.81993,0.46031,0.88989,0.0002378,0.0002378,0.0002378
91,3260.54,0.7389,0.4064,0.8581,0.93523,0.87211,0.92068,0.69665,0.81685,0.46655,0.88929,0.000218,0.000218,0.000218
92,3295.13,0.73958,0.39357,0.86611,0.93942,0.87651,0.92339,0.69772,0.81725,0.45967,0.88584,0.0001982,0.0001982,0.0001982
93,3329.87,0.74334,0.3976,0.86474,0.94573,0.87651,0.92683,0.7007,0.81014,0.45536,0.88266,0.0001784,0.0001784,0.0001784
94,3364.29,0.73501,0.39796,0.85754,0.94049,0.88591,0.92631,0.70187,0.80639,0.45152,0.87996,0.0001586,0.0001586,0.0001586
95,3399.13,0.72146,0.38751,0.85795,0.93306,0.88993,0.925,0.70419,0.80625,0.45305,0.88274,0.0001388,0.0001388,0.0001388
96,3433.4,0.72533,0.38338,0.86038,0.95085,0.86846,0.92692,0.70452,0.80775,0.44604,0.88252,0.000119,0.000119,0.000119
97,3468.03,0.73,0.38414,0.8569,0.94549,0.8847,0.92798,0.70834,0.79652,0.4437,0.87953,9.92e-05,9.92e-05,9.92e-05
98,3502.84,0.7199,0.37657,0.86246,0.96131,0.8698,0.92728,0.70676,0.79815,0.44164,0.87918,7.94e-05,7.94e-05,7.94e-05
99,3537.3,0.72179,0.38187,0.86051,0.94777,0.87679,0.92775,0.70457,0.8059,0.44594,0.88153,5.96e-05,5.96e-05,5.96e-05
100,3572.03,0.71243,0.37683,0.85825,0.94651,0.8788,0.92871,0.70797,0.80334,0.44513,0.88014,3.98e-05,3.98e-05,3.98e-05
