epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3366,1.13136,2.93223,1.01454,0.60165,0.14497,0.20007,0.13357,1.21316,3.61278,1.01979,0.000658537,0.000658537,0.000658537
2,58.0975,1.26409,1.93056,1.10699,0.57256,0.39195,0.40072,0.27996,1.25728,5.25278,1.11781,0.00131208,0.00131208,0.00131208
3,82.0181,1.22972,1.42522,1.07736,0.22044,0.10201,0.06288,0.04411,1.86589,3.65291,1.56844,0.00195243,0.00195243,0.00195243
4,105.866,1.27633,1.31956,1.11748,0.81679,0.49128,0.57996,0.35747,1.38148,1.75963,1.11535,0.0019406,0.0019406,0.0019406
5,129.733,1.23327,1.15836,1.07713,0.85668,0.60173,0.69654,0.45558,1.20661,1.09645,1.07392,0.0019208,0.0019208,0.0019208
6,154.023,1.1664,1.05404,1.05161,0.70319,0.54061,0.58105,0.38274,1.22633,1.20985,1.04451,0.001901,0.001901,0.001901
7,177.524,1.13803,0.99656,1.03222,0.79056,0.5906,0.66785,0.45322,1.16563,1.07022,1.0149,0.0018812,0.0018812,0.0018812
8,201.311,1.13418,0.97443,1.03268,0.86782,0.65101,0.75513,0.52962,1.06254,0.88762,0.99158,0.0018614,0.0018614,0.0018614
9,225.141,1.09035,0.88336,1.01699,0.87634,0.64161,0.74705,0.49313,1.09469,0.94157,0.98059,0.0018416,0.0018416,0.0018416
10,249.11,1.0933,0.88128,1.01661,0.85696,0.6698,0.7546,0.50633,1.08834,1.01598,1.00566,0.0018218,0.0018218,0.0018218
11,272.785,1.08062,0.87892,1.02367,0.84705,0.73154,0.80381,0.54254,1.08445,0.80085,0.98513,0.001802,0.001802,0.001802
12,296.468,1.06974,0.84281,1.00526,0.77199,0.64534,0.72835,0.51753,1.05965,0.9131,0.9832,0.0017822,0.0017822,0.0017822
13,320.118,1.05464,0.81898,1.00193,0.88218,0.71355,0.79196,0.56622,1.01785,0.89634,0.9662,0.0017624,0.0017624,0.0017624
14,343.945,1.05793,0.82261,0.99672,0.74512,0.6953,0.75145,0.52314,1.05475,0.97354,0.97608,0.0017426,0.0017426,0.0017426
15,367.81,1.02898,0.80008,0.98406,0.88211,0.72617,0.8052,0.55557,1.03729,0.80248,0.97759,0.0017228,0.0017228,0.0017228
16,391.439,1.02358,0.78204,0.97414,0.90932,0.7134,0.79921,0.55414,1.02921,0.80124,0.97619,0.001703,0.001703,0.001703
