epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4500.6,0.93599,0.66108,1.0544,0.87786,0.7745,0.84168,0.61833,0.90878,0.74126,1.03818,0.0011882,0.0011882,0.0011882
43,4605.4,0.92648,0.66658,1.05739,0.83231,0.74631,0.80468,0.59156,0.88196,0.80749,1.02854,0.0011684,0.0011684,0.0011684
44,4710.34,0.9486,0.68745,1.05872,0.89302,0.76644,0.84853,0.6145,0.92052,0.697,1.0524,0.0011486,0.0011486,0.0011486
45,4815.14,0.93601,0.68163,1.0432,0.82463,0.72752,0.78071,0.55155,0.93711,0.78053,1.05381,0.0011288,0.0011288,0.0011288
46,4920.91,0.90689,0.66889,1.03409,0.91017,0.78523,0.86801,0.64108,0.88977,0.64415,1.04341,0.001109,0.001109,0.001109
47,5030.34,0.90932,0.65338,1.04516,0.90212,0.81208,0.87549,0.63502,0.88982,0.59474,1.0322,0.0010892,0.0010892,0.0010892
48,5135.23,0.89043,0.61824,1.02873,0.88005,0.79329,0.86784,0.64005,0.88759,0.61042,1.02191,0.0010694,0.0010694,0.0010694
49,5240.65,0.89018,0.63632,1.03564,0.8983,0.82685,0.88901,0.6539,0.90048,0.59842,1.03953,0.0010496,0.0010496,0.0010496
50,5346.02,0.91384,0.61995,1.04125,0.90591,0.79597,0.88734,0.64598,0.8766,0.58306,1.01958,0.0010298,0.0010298,0.0010298
51,5450.91,0.88375,0.5998,1.03548,0.8995,0.7651,0.87532,0.64263,0.86969,0.61614,1.02038,0.00101,0.00101,0.00101
52,5555.57,0.88941,0.61195,1.02361,0.91916,0.77841,0.89279,0.65614,0.86796,0.55462,1.02093,0.0009902,0.0009902,0.0009902
53,5664.77,0.88797,0.62221,1.02202,0.91275,0.79329,0.88653,0.65672,0.87422,0.60737,1.02375,0.0009704,0.0009704,0.0009704
54,5771.5,0.88372,0.60019,1.03297,0.88912,0.83221,0.8973,0.6587,0.86224,0.58175,1.02632,0.0009506,0.0009506,0.0009506
55,5876.61,0.86889,0.59385,1.02595,0.87157,0.79249,0.87001,0.64392,0.85338,0.61639,1.0179,0.0009308,0.0009308,0.0009308
56,5981.78,0.8568,0.57933,1.01157,0.89115,0.78025,0.86893,0.64507,0.85426,0.74052,1.01318,0.000911,0.000911,0.000911
57,6086.53,0.86871,0.58428,1.00998,0.88704,0.80805,0.8838,0.65915,0.84169,0.57145,1.01264,0.0008912,0.0008912,0.0008912
58,6194.95,0.88047,0.58094,1.01794,0.89971,0.82148,0.88352,0.64681,0.84046,0.59817,1.01197,0.0008714,0.0008714,0.0008714
59,6302.79,0.86114,0.58341,1.0219,0.87163,0.84758,0.89924,0.66646,0.82906,0.52981,1.00377,0.0008516,0.0008516,0.0008516
60,6408.16,0.84758,0.5802,1.00499,0.8738,0.83087,0.89249,0.66286,0.83241,0.55349,1.00533,0.0008318,0.0008318,0.0008318
61,6513.23,0.8369,0.55658,1.01245,0.93526,0.79498,0.89461,0.66335,0.84108,0.56505,1.01277,0.000812,0.000812,0.000812
62,6622.87,0.84892,0.57542,1.00677,0.92965,0.82685,0.90669,0.66964,0.83449,0.51463,0.99426,0.0007922,0.0007922,0.0007922
63,6728.4,0.83743,0.55094,1.00481,0.8812,0.82953,0.89836,0.67545,0.82331,0.52595,1.00175,0.0007724,0.0007724,0.0007724
64,6837.19,0.82417,0.54047,1.00075,0.90767,0.83129,0.90788,0.67311,0.83069,0.52564,0.99634,0.0007526,0.0007526,0.0007526
65,6945.28,0.82208,0.54163,0.99113,0.89907,0.81745,0.90141,0.68063,0.8127,0.5383,0.98955,0.0007328,0.0007328,0.0007328
66,7053.42,0.82612,0.54283,0.99031,0.86848,0.83221,0.86693,0.64204,0.81283,0.56811,0.99569,0.000713,0.000713,0.000713
67,7162.86,0.82338,0.55213,0.99397,0.93311,0.82685,0.91175,0.67992,0.83317,0.50635,1.00082,0.0006932,0.0006932,0.0006932
68,7268.25,0.80278,0.51322,0.98531,0.92533,0.83169,0.91321,0.68119,0.82739,0.50851,0.99623,0.0006734,0.0006734,0.0006734
69,7373.47,0.8198,0.52011,0.99485,0.91588,0.82685,0.90679,0.67736,0.82807,0.51417,1.01254,0.0006536,0.0006536,0.0006536
70,7482.34,0.79823,0.51957,0.98101,0.89154,0.85503,0.91001,0.68774,0.80165,0.4915,0.98865,0.0006338,0.0006338,0.0006338
71,7589.32,0.77803,0.48308,0.98011,0.87804,0.82953,0.86711,0.6477,0.81788,0.57218,1.0051,0.000614,0.000614,0.000614
72,7694.15,0.78599,0.50049,0.98514,0.91803,0.83893,0.91355,0.68215,0.83305,0.4968,1.01033,0.0005942,0.0005942,0.0005942
73,7801.9,0.79607,0.51983,0.98785,0.91264,0.79934,0.89272,0.66834,0.82218,0.53747,1.00882,0.0005744,0.0005744,0.0005744
74,7910.69,0.79677,0.50376,0.98224,0.87307,0.86309,0.91205,0.6827,0.80879,0.49806,0.99904,0.0005546,0.0005546,0.0005546
75,8021.24,0.78638,0.49661,0.9754,0.90511,0.83225,0.89918,0.66959,0.8194,0.5057,1.00413,0.0005348,0.0005348,0.0005348
76,8126.26,0.77621,0.47742,0.97459,0.91804,0.83221,0.91663,0.69169,0.80158,0.48866,0.99524,0.000515,0.000515,0.000515
77,8231.54,0.80568,0.50147,0.98491,0.90082,0.84966,0.90542,0.67491,0.81813,0.51951,0.99313,0.0004952,0.0004952,0.0004952
