epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1741,1.38255,1.91539,1.25994,0.03792,0.44478,0.02496,0.01374,1.52253,19.7397,1.49345,0.000664926,0.000664926,0.000664926
2,138.25,1.62377,1.82339,1.42453,0.31615,0.27612,0.19103,0.10821,1.67449,3.84597,1.51284,0.00131511,0.00131511,0.00131511
3,204.228,1.61368,1.82195,1.4461,0.31142,0.28507,0.18526,0.11325,nan,nan,nan,0.0019488,0.0019488,0.0019488
4,270.2,1.50269,1.63217,1.3759,0.59284,0.49114,0.48839,0.30831,1.36066,2.31514,1.27424,0.00192575,0.00192575,0.00192575
5,335.822,1.46796,1.53987,1.33016,0.71709,0.54856,0.57962,0.38554,1.31143,1.65061,1.24996,0.001901,0.001901,0.001901
6,401.612,1.33831,1.38245,1.26514,0.80188,0.52985,0.61619,0.41747,1.28587,1.39051,1.23238,0.00187625,0.00187625,0.00187625
7,467.328,1.31284,1.30681,1.27183,0.6069,0.52985,0.54168,0.36341,1.3159,1.74095,1.27509,0.0018515,0.0018515,0.0018515
8,532.787,1.29078,1.29198,1.22659,0.78259,0.61343,0.66573,0.466,1.17291,1.12695,1.14859,0.00182675,0.00182675,0.00182675
9,598.43,1.24272,1.21237,1.20999,0.85244,0.58507,0.69828,0.48297,1.18736,1.10498,1.1693,0.001802,0.001802,0.001802
10,664.068,1.22902,1.16174,1.21298,0.83379,0.61045,0.68292,0.46097,1.20934,1.13406,1.21192,0.00177725,0.00177725,0.00177725
11,729.6,1.17243,1.1123,1.18876,0.82226,0.62835,0.71682,0.49994,1.12524,1.32751,1.13039,0.0017525,0.0017525,0.0017525
12,795.435,1.19967,1.1379,1.1774,0.86007,0.67612,0.75209,0.53389,1.09625,1.01737,1.11849,0.00172775,0.00172775,0.00172775
13,860.99,1.16726,1.09601,1.15929,0.83743,0.6791,0.76351,0.54429,1.06891,0.99171,1.12046,0.001703,0.001703,0.001703
14,926.699,1.16057,1.0508,1.16926,0.82754,0.65224,0.73173,0.51519,1.09231,1.10483,1.12884,0.00167825,0.00167825,0.00167825
15,992.047,1.13088,1.02599,1.14846,0.84721,0.67037,0.75513,0.53377,1.04105,1.07079,1.11761,0.0016535,0.0016535,0.0016535
16,1057.53,1.08801,0.99223,1.11161,0.85069,0.70149,0.78853,0.564,1.04404,0.89336,1.07691,0.00162875,0.00162875,0.00162875
17,1123.19,1.08051,0.93608,1.11771,0.84591,0.66269,0.75555,0.54163,1.0281,0.96725,1.08409,0.001604,0.001604,0.001604
18,1188.55,1.07301,0.98854,1.1253,0.88615,0.68955,0.78391,0.57795,0.97518,0.8865,1.0623,0.00157925,0.00157925,0.00157925
19,1254.13,1.09268,0.9498,1.12318,0.8637,0.70933,0.7864,0.5676,1.03533,0.8753,1.08133,0.0015545,0.0015545,0.0015545
20,1319.5,1.07498,0.95404,1.11441,0.85105,0.71343,0.77277,0.55363,1.04911,0.92839,1.09217,0.00152975,0.00152975,0.00152975
21,1385.02,1.07003,0.92849,1.10494,0.88845,0.67758,0.78119,0.56813,1.01734,0.92367,1.07914,0.001505,0.001505,0.001505
22,1450.38,1.06106,0.89532,1.09632,0.89452,0.72144,0.8166,0.58889,1.02425,0.9046,1.08388,0.00148025,0.00148025,0.00148025
23,1516.06,1.0429,0.88768,1.09141,0.86155,0.72388,0.80515,0.58852,0.98973,0.90284,1.07145,0.0014555,0.0014555,0.0014555
24,1581.49,1.02062,0.82574,1.08645,0.91752,0.72239,0.82965,0.59859,0.99798,0.80731,1.06714,0.00143075,0.00143075,0.00143075
25,1647.15,1.01457,0.82723,1.07149,0.90641,0.77313,0.84603,0.61008,0.98231,0.82391,1.06178,0.001406,0.001406,0.001406
26,1712.84,0.99871,0.81781,1.06516,0.90401,0.74497,0.83585,0.6177,0.9588,0.7819,1.05295,0.00138125,0.00138125,0.00138125
27,1778.41,0.99253,0.82482,1.07187,0.87942,0.762,0.84246,0.58638,1.01082,0.76516,1.06787,0.0013565,0.0013565,0.0013565
28,1843.75,1.01621,0.85496,1.0843,0.86885,0.74478,0.83342,0.61704,0.96401,0.75653,1.06327,0.00133175,0.00133175,0.00133175
29,1909.12,0.97832,0.77489,1.07361,0.89315,0.73605,0.83766,0.61236,0.95896,0.76164,1.04687,0.001307,0.001307,0.001307
30,1974.61,0.99789,0.79267,1.07482,0.89423,0.74925,0.82962,0.60347,1.00395,0.77752,1.07262,0.00128225,0.00128225,0.00128225
31,2040.02,0.96093,0.76679,1.04795,0.91414,0.76119,0.84724,0.62615,0.93136,0.7188,1.04248,0.0012575,0.0012575,0.0012575
32,2105.54,0.93443,0.71799,1.0345,0.91033,0.76418,0.85554,0.62247,0.9741,0.74706,1.07055,0.00123275,0.00123275,0.00123275
33,2170.92,0.92587,0.75794,1.03322,0.91255,0.7787,0.85696,0.62899,0.96777,0.70353,1.04378,0.001208,0.001208,0.001208
34,2236.58,0.9522,0.73252,1.05555,0.93616,0.76598,0.85987,0.63,0.96003,0.70423,1.0443,0.00118325,0.00118325,0.00118325
35,2302.27,0.96074,0.75532,1.06816,0.89452,0.75941,0.84721,0.62202,0.94675,0.69634,1.0441,0.0011585,0.0011585,0.0011585
36,2367.84,0.94645,0.75738,1.05593,0.89754,0.7791,0.85579,0.63515,0.93129,0.68729,1.03024,0.00113375,0.00113375,0.00113375
37,2433.57,0.93084,0.73671,1.05162,0.93087,0.75821,0.85462,0.63155,0.92467,0.69369,1.05263,0.001109,0.001109,0.001109
38,2499.03,0.94748,0.74014,1.05699,0.9101,0.77015,0.85877,0.63521,0.93775,0.69144,1.04043,0.00108425,0.00108425,0.00108425
39,2564.78,0.90212,0.70788,1.03287,0.89747,0.81002,0.87721,0.64601,0.9155,0.68662,1.02485,0.0010595,0.0010595,0.0010595
40,2630.3,0.913,0.69981,1.02786,0.89182,0.76716,0.8682,0.63636,0.94491,0.69146,1.0491,0.00103475,0.00103475,0.00103475
41,2695.63,0.88963,0.69814,1.03074,0.90609,0.79104,0.8776,0.65212,0.91709,0.67867,1.02103,0.00101,0.00101,0.00101
42,2761.36,0.8921,0.65691,1.01297,0.9306,0.79851,0.88839,0.66268,0.92927,0.6109,1.04405,0.00098525,0.00098525,0.00098525
43,2827.01,0.90487,0.67149,1.0311,0.93694,0.77617,0.87982,0.64702,0.91354,0.65422,1.01817,0.0009605,0.0009605,0.0009605
44,2892.35,0.8906,0.65248,1.0309,0.90937,0.81791,0.88525,0.66238,0.87773,0.62741,1.00249,0.00093575,0.00093575,0.00093575
45,2957.66,0.89729,0.65358,1.02674,0.9121,0.77438,0.87047,0.65369,0.89311,0.61518,1.00235,0.000911,0.000911,0.000911
46,3023.27,0.90268,0.65347,1.03498,0.92379,0.81493,0.88392,0.65782,0.89398,0.61482,1.02903,0.00088625,0.00088625,0.00088625
47,3088.67,0.87037,0.63733,1.00561,0.93128,0.79851,0.88668,0.66574,0.88184,0.5891,1.00552,0.0008615,0.0008615,0.0008615
48,3154.31,0.88286,0.63309,1.00524,0.92552,0.81607,0.89469,0.66734,0.88944,0.60905,0.99864,0.00083675,0.00083675,0.00083675
49,3220.03,0.86041,0.63119,1.00298,0.92425,0.81045,0.88857,0.66523,0.88084,0.60921,1.00492,0.000812,0.000812,0.000812
50,3285.54,0.86162,0.60066,1.00353,0.94261,0.80902,0.89522,0.66647,0.89059,0.6093,1.00474,0.00078725,0.00078725,0.00078725
51,3350.93,0.86285,0.62262,1.00156,0.95237,0.80448,0.89639,0.67041,0.87285,0.6003,0.99476,0.0007625,0.0007625,0.0007625
52,3416.64,0.84226,0.60292,0.9987,0.91753,0.82388,0.9008,0.67784,0.86563,0.58512,1.00355,0.00073775,0.00073775,0.00073775
53,3482.35,0.8439,0.60229,1.00365,0.94436,0.82388,0.91123,0.68802,0.85991,0.56328,0.9985,0.000713,0.000713,0.000713
54,3548.19,0.82769,0.57037,0.99965,0.9393,0.82239,0.90434,0.68355,0.86973,0.54957,1.0026,0.00068825,0.00068825,0.00068825
55,3613.58,0.84463,0.59533,1.00911,0.92528,0.8194,0.91162,0.68344,0.86371,0.57198,0.99855,0.0006635,0.0006635,0.0006635
