epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2255.05,2.21673,1.55054,1.89184,0.89298,0.74765,0.85143,0.59747,2.08914,1.3756,1.88115,0.0014588,0.0014588,0.0014588
43,2304.81,2.19447,1.51039,1.90419,0.90176,0.75155,0.85033,0.6121,2.09954,1.37176,1.87047,0.0014456,0.0014456,0.0014456
44,2354.63,2.13954,1.53203,1.88654,0.83822,0.77894,0.85205,0.61177,2.06063,1.35036,1.87608,0.0014324,0.0014324,0.0014324
45,2404.81,2.17187,1.49346,1.90587,0.89396,0.75302,0.84023,0.58955,2.1328,1.47685,1.88088,0.0014192,0.0014192,0.0014192
46,2454.65,2.19623,1.5484,1.89713,0.89084,0.76242,0.84371,0.61184,2.07543,1.41516,1.86767,0.001406,0.001406,0.001406
47,2504.56,2.17142,1.47132,1.87794,0.86115,0.79918,0.86509,0.60658,2.12702,1.31897,1.88286,0.0013928,0.0013928,0.0013928
48,2554.41,2.13603,1.45567,1.88739,0.84687,0.77203,0.85285,0.61905,2.0409,1.32315,1.85373,0.0013796,0.0013796,0.0013796
49,2604.32,2.17209,1.51525,1.88621,0.8577,0.79463,0.85838,0.61398,2.07035,1.3257,1.85677,0.0013664,0.0013664,0.0013664
50,2654.12,2.10623,1.44544,1.8857,0.85932,0.78658,0.85589,0.6187,2.03593,1.35479,1.85021,0.0013532,0.0013532,0.0013532
51,2703.84,2.1055,1.40826,1.89321,0.8578,0.77987,0.8525,0.60477,2.0895,1.36277,1.88319,0.00134,0.00134,0.00134
52,2753.6,2.10442,1.4501,1.87324,0.88469,0.77718,0.86901,0.62749,2.06945,1.27645,1.86637,0.0013268,0.0013268,0.0013268
53,2803.74,2.14978,1.44015,1.8852,0.89884,0.73949,0.84287,0.61124,2.05236,1.33755,1.86111,0.0013136,0.0013136,0.0013136
54,2853.37,2.04897,1.38754,1.86706,0.89569,0.78792,0.869,0.62204,2.06579,1.27961,1.86636,0.0013004,0.0013004,0.0013004
55,2903.45,2.09258,1.39627,1.88001,0.89569,0.77224,0.85934,0.62145,2.0085,1.32921,1.86084,0.0012872,0.0012872,0.0012872
56,2953.37,2.06153,1.33332,1.88386,0.90553,0.77199,0.86727,0.62312,2.04544,1.2926,1.84948,0.001274,0.001274,0.001274
57,3003.27,2.08738,1.36735,1.8583,0.872,0.7906,0.86996,0.63083,2.01033,1.27047,1.84178,0.0012608,0.0012608,0.0012608
58,3052.88,2.08932,1.41495,1.8777,0.84474,0.82416,0.8717,0.64056,1.96482,1.25733,1.83778,0.0012476,0.0012476,0.0012476
59,3102.75,2.06543,1.34002,1.88787,0.91968,0.76843,0.86116,0.61996,2.06438,1.28432,1.87674,0.0012344,0.0012344,0.0012344
60,3152.56,2.09483,1.36287,1.85603,0.90926,0.80697,0.87698,0.63224,1.98579,1.21871,1.83551,0.0012212,0.0012212,0.0012212
61,3202.17,2.13069,1.39595,1.86993,0.92047,0.7923,0.88079,0.63161,2.04431,1.25275,1.85224,0.001208,0.001208,0.001208
62,3251.99,2.10686,1.34416,1.86013,0.88163,0.79732,0.87475,0.638,2.02022,1.2679,1.85593,0.0011948,0.0011948,0.0011948
63,3301.66,2.13448,1.34309,1.86489,0.8944,0.80718,0.88199,0.64124,1.99422,1.24713,1.84416,0.0011816,0.0011816,0.0011816
64,3351.51,2.04741,1.29589,1.86312,0.87985,0.80671,0.87686,0.6366,2.00422,1.1947,1.84512,0.0011684,0.0011684,0.0011684
65,3401.44,2.04695,1.28772,1.85509,0.87036,0.82908,0.88122,0.63731,1.98858,1.21294,1.84631,0.0011552,0.0011552,0.0011552
66,3451.48,2.02897,1.29387,1.86036,0.89399,0.80671,0.88547,0.65065,1.9837,1.19912,1.83055,0.001142,0.001142,0.001142
67,3501.37,2.06597,1.29578,1.84888,0.91065,0.8071,0.88128,0.64217,1.99473,1.24102,1.85551,0.0011288,0.0011288,0.0011288
68,3551.26,1.9753,1.26348,1.84054,0.90965,0.82685,0.88579,0.64613,1.98196,1.18863,1.83637,0.0011156,0.0011156,0.0011156
69,3601.03,2.0269,1.30466,1.85124,0.87053,0.79329,0.87271,0.64123,1.95565,1.21414,1.82533,0.0011024,0.0011024,0.0011024
70,3650.82,2.05841,1.28988,1.83884,0.88701,0.82953,0.8924,0.65802,1.94726,1.14581,1.82302,0.0010892,0.0010892,0.0010892
71,3700.64,2.03516,1.28289,1.84299,0.889,0.817,0.88434,0.65664,1.94196,1.17088,1.8188,0.001076,0.001076,0.001076
72,3750.26,2.00375,1.25291,1.84559,0.92992,0.8015,0.89286,0.64708,1.96971,1.17555,1.82766,0.0010628,0.0010628,0.0010628
73,3800.17,1.9631,1.20451,1.84953,0.90305,0.81265,0.8855,0.63787,1.98075,1.19472,1.83883,0.0010496,0.0010496,0.0010496
74,3849.94,2.02576,1.24946,1.8344,0.90652,0.80702,0.8872,0.65487,1.98505,1.15455,1.83843,0.0010364,0.0010364,0.0010364
75,3899.87,2.00172,1.22585,1.84485,0.89064,0.81984,0.88926,0.65555,1.95158,1.16979,1.83175,0.0010232,0.0010232,0.0010232
76,3950.24,2.03355,1.28352,1.85543,0.92214,0.80537,0.90011,0.65876,1.94155,1.13799,1.83309,0.00101,0.00101,0.00101
77,4001.83,1.93532,1.20521,1.83992,0.90784,0.8255,0.8998,0.66321,1.9382,1.13565,1.82496,0.0009968,0.0009968,0.0009968
78,4051.75,1.96388,1.20467,1.83425,0.94335,0.827,0.9019,0.66024,1.97314,1.14619,1.83665,0.0009836,0.0009836,0.0009836
79,4101.44,1.95523,1.19885,1.83475,0.92304,0.82282,0.90257,0.664,1.92652,1.15544,1.82234,0.0009704,0.0009704,0.0009704
80,4151.24,1.95932,1.1952,1.83629,0.92187,0.80778,0.90117,0.65791,1.93755,1.15559,1.83254,0.0009572,0.0009572,0.0009572
81,4200.87,1.97923,1.22609,1.83302,0.91458,0.81611,0.90079,0.65335,1.94427,1.142,1.82719,0.000944,0.000944,0.000944
82,4250.69,1.98046,1.18519,1.81672,0.92467,0.81342,0.89858,0.6577,1.93126,1.15089,1.82563,0.0009308,0.0009308,0.0009308
83,4300.35,1.93013,1.15455,1.82398,0.94095,0.82953,0.90473,0.66672,1.92575,1.07859,1.80963,0.0009176,0.0009176,0.0009176
84,4350.25,1.9413,1.18775,1.82282,0.89894,0.83893,0.89625,0.65975,1.91991,1.11796,1.81781,0.0009044,0.0009044,0.0009044
85,4400.12,1.9506,1.20273,1.81777,0.93461,0.82685,0.89704,0.65304,1.95163,1.12393,1.81804,0.0008912,0.0008912,0.0008912
86,4449.78,1.95497,1.17359,1.81101,0.91349,0.81477,0.89693,0.65748,1.95135,1.15793,1.82388,0.000878,0.000878,0.000878
87,4499.67,1.97195,1.18502,1.81915,0.89406,0.83356,0.89923,0.65791,1.94087,1.12192,1.83237,0.0008648,0.0008648,0.0008648
88,4549.44,1.89291,1.14808,1.80116,0.91676,0.82685,0.90053,0.65973,1.95018,1.13757,1.83279,0.0008516,0.0008516,0.0008516
89,4599.25,1.88793,1.15281,1.81625,0.90507,0.8446,0.90111,0.6688,1.9002,1.08627,1.82584,0.0008384,0.0008384,0.0008384
90,4648.97,1.90735,1.15807,1.81005,0.92961,0.83316,0.90553,0.66981,1.93023,1.08842,1.81998,0.0008252,0.0008252,0.0008252
91,4698.73,1.90182,1.12329,1.81205,0.91865,0.83367,0.90204,0.67132,1.91442,1.10247,1.82883,0.000812,0.000812,0.000812
92,4748.46,1.94889,1.15136,1.81172,0.91839,0.84027,0.90565,0.66699,1.93029,1.09961,1.81642,0.0007988,0.0007988,0.0007988
93,4798.32,1.90098,1.10947,1.80959,0.91401,0.83624,0.90774,0.67062,1.93909,1.07406,1.82574,0.0007856,0.0007856,0.0007856
94,4847.86,1.90926,1.15295,1.81872,0.89961,0.83758,0.90955,0.67345,1.91338,1.06458,1.81938,0.0007724,0.0007724,0.0007724
95,4897.59,1.89013,1.1308,1.79608,0.94909,0.82282,0.90907,0.67701,1.894,1.0559,1.81861,0.0007592,0.0007592,0.0007592
96,4947.46,1.92561,1.15354,1.80052,0.91732,0.85503,0.91374,0.67599,1.8983,1.06379,1.81815,0.000746,0.000746,0.000746
97,4997.56,1.87343,1.10789,1.79458,0.90793,0.8471,0.91393,0.68209,1.88794,1.06457,1.81057,0.0007328,0.0007328,0.0007328
98,5047.14,1.8962,1.11622,1.8105,0.92476,0.83356,0.91049,0.67753,1.89119,1.04817,1.81394,0.0007196,0.0007196,0.0007196
99,5096.98,1.88708,1.08795,1.80986,0.90243,0.85235,0.91466,0.67513,1.90219,1.06029,1.81529,0.0007064,0.0007064,0.0007064
100,5146.82,1.85546,1.06371,1.79174,0.93611,0.82607,0.91161,0.67555,1.92216,1.05243,1.81867,0.0006932,0.0006932,0.0006932
101,5196.71,1.85346,1.09473,1.78759,0.93407,0.8367,0.90826,0.67184,1.93612,1.07153,1.81513,0.00068,0.00068,0.00068
102,5246.42,1.86683,1.07898,1.79729,0.88536,0.85101,0.90457,0.66462,1.94353,1.05665,1.81729,0.0006668,0.0006668,0.0006668
103,5296.35,1.84574,1.07049,1.80515,0.95464,0.81477,0.90654,0.67329,1.93046,1.05098,1.81686,0.0006536,0.0006536,0.0006536
104,5346.29,1.80797,1.04305,1.78201,0.90642,0.85806,0.91451,0.68007,1.89646,1.03538,1.80881,0.0006404,0.0006404,0.0006404
